,0,1,2,3,4,5,6
0,11 Comae Berenices b,305,19.4 Jupiters,4.74,2007,326 days,0.23
1,11 Ursae Minoris b,410,14.74 Jupiters,5.016,2009,1.4 years,0.08
2,14 Andromedae b,247,4.8 Jupiters,5.227,2008,185.8 days,0.0
3,14 Herculis b,59,4.66 Jupiters,6.61,2002,4.9 years,0.37
4,16 Cygni B b,69,1.78 Jupiters,6.25,1996,2.2 years,0.68
5,18 Delphini b,249,10.3 Jupiters,5.506,2008,2.7 years,0.08
6,1RXS J160929.1-210524 b,473,8 Jupiters,12.057,2008,6505.9 years,0.0
7,24 Bootis b,314,0.91 Jupiters,5.58,2018,30.4 days,0.04
8,24 Sextantis b,236,1.99 Jupiters,6.441,2010,452.8 days,0.09
9,24 Sextantis c,236,0.86 Jupiters,6.441,2010,2.4 years,0.29
10,2MASS J01033563-5515561 AB b,154,13 Jupiters,,2013,1767.2 years,0.0
11,2MASS J01225093-2439505 b,117,24.5 Jupiters,14.24,2013,593.2 years,0.0
12,2MASS J02192210-3925225 b,129,13.9 Jupiters,15.012,2015,5878.1 years,0.0
13,2MASS J04414489+2301513 b,457,7.5 Jupiters,18.967,2010,411 years,0.0
14,2MASS J12073346-3932539 b,210,4 Jupiters,20.15,2004,2207.3 years,0.0
15,2MASS J19383260+4603591 b,1307,1.9 Jupiters,12.138,2015,416 days,0.0
16,2MASS J21402931+1625183 A b,82,20.95 Jupiters,17.396,2009,20.1 years,0.26
17,2MASS J22362452+4751425 b,241,12.5 Jupiters,12.51,2016,4505.7 years,0.0
18,30 Arietis B b,146,13.82 Jupiters,6.962,2009,335.1 days,0.29
19,42 Draconis b,296,3.88 Jupiters,4.82,2008,479.1 days,0.38
20,47 Ursae Majoris b,45,2.53 Jupiters,5.05,1996,3 years,0.03
21,47 Ursae Majoris c,45,0.54 Jupiters,5.05,2001,6.6 years,0.1
22,47 Ursae Majoris d,45,1.64 Jupiters,5.05,2009,38.4 years,0.16
23,4 Ursae Majoris b,240,7.1 Jupiters,4.61,2006,269.3 days,0.43
24,51 Eridani b,96,2 Jupiters,5.23,2015,32 years,0.45
25,51 Pegasi b,50,0.46 Jupiters,5.5,1995,4.2 days,0.01
26,55 Cancri b,41,0.8306 Jupiters,5.96,1996,14.7 days,0.0
27,55 Cancri c,41,0.1714 Jupiters,5.96,2004,44.4 days,0.02
28,55 Cancri d,41,3.878 Jupiters,5.96,2002,13.2 years,0.02
29,55 Cancri e,41,8.08 Earths,5.96,2004,0.7 days,0.03
30,55 Cancri f,41,0.141 Jupiters,5.96,2007,262 days,0.31
31,61 Virginis b,28,5.1 Earths,4.74,2009,4.2 days,0.12
32,61 Virginis c,28,18.2 Earths,4.74,2009,38 days,0.14
33,61 Virginis d,28,22.9 Earths,4.74,2009,123 days,0.35
34,6 Lyncis b,179,2.01 Jupiters,5.86,2008,2.6 years,0.07
35,70 Virginis b,58,7.49 Jupiters,4.97,1996,116.7 days,0.4
36,75 Ceti b,271,3 Jupiters,5.35,2012,1.9 years,0.12
37,7 Canis Majoris b,65,1.85 Jupiters,3.92,2011,2 years,0.06
38,7 Canis Majoris c,65,0.87 Jupiters,3.92,2019,2.7 years,0.08
39,81 Ceti b,331,5.3 Jupiters,5.65,2008,2.6 years,0.21
40,8 Ursae Minoris b,533,1.31 Jupiters,6.83,2015,93.4 days,0.06
41,91 Aquarii b,144,3.2 Jupiters,4.25,2013,181.4 days,0.03
42,AB Pictoris b,163,13.5 Jupiters,9.128,2005,4421.7 years,0.0
43,Alpha Arietis b,66,1.8 Jupiters,2,2010,380.8 days,0.25
44,Alpha Tauri b,67,6.47 Jupiters,0.85,2015,1.7 years,0.1
45,AU Microscopii b,32,0.18 Jupiters,8.81,2020,8.5 days,0.1
46,BD+03 2562 b,8540,6.4 Jupiters,9.58,2017,481.9 days,0.2
47,BD-06 1339 b,66,8.5 Earths,9.7,2013,3.9 days,0.0
48,BD-06 1339 c,66,0.17 Jupiters,9.7,2013,125.9 days,0.31
49,BD-08 2823 b,135,12.7132 Earths,9.88,2009,5.6 days,0.15
50,BD-08 2823 c,135,0.33 Jupiters,9.88,2009,237.6 days,0.19
51,BD-10 3166 b,276,0.59 Jupiters,10.08,2000,3.5 days,0.02
52,BD-11 4672 b,89,0.65 Jupiters,9.99,2014,4.5 years,0.05
53,BD-11 4672 c,89,15.37 Earths,9.99,2020,74.2 days,0.4
54,BD-13 2130 b,3095,9.78 Jupiters,9.45,2007,2 years,0.21
55,BD+14 4559 b,161,1.04 Jupiters,9.63,2009,268.9 days,0.29
56,BD+15 2375 b,2525,1.061 Jupiters,10.31,2016,153.2 days,0.0
57,BD+15 2940 b,1408,1.11 Jupiters,9.046,2013,137.5 days,0.26
58,BD-17 63 b,113,5.1 Jupiters,9.566,2008,1.8 years,0.54
59,BD+20 2457 b,5450,55.59 Jupiters,9.75,2009,379.6 days,0.15
60,BD+20 2457 c,5450,12.47 Jupiters,9.75,2009,1.7 years,0.18
61,BD+20 274 b,4514,4.2 Jupiters,9.36,2012,1.6 years,0.21
62,BD+20 594 b,588,22.2481 Earths,11.038,2016,41.7 days,0.0
63,BD+48 738 b,2910,0.91 Jupiters,9.14,2011,392.6 days,0.2
64,BD+48 740 b,2215,1.7 Jupiters,8.699,2018,2 years,0.76
65,BD+49 828 b,1460,1.6 Jupiters,9.38,2015,7.1 years,0.35
66,Beta Cancri b,295,7.8 Jupiters,3.53,2014,1.7 years,0.08
67,Beta Pictoris b,64,11 Jupiters,3.85,2008,21 years,0.08
68,Beta Pictoris c,64,9 Jupiters,3.85,2019,3.3 years,0.24
69,Beta Ursae Minoris b,127,6.1 Jupiters,2.08,2014,1.4 years,0.19
70,CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011,27.5 years,0.0
71,CHXR 73 b,623,12.569 Jupiters,17.293,2006,5146.9 years,0.0
72,CI Tauri b,515,11.6 Jupiters,12.939,2019,9 days,0.25
73,CoRoT-10 b,1125,2.75 Jupiters,15.22,2010,13.2 days,0.53
74,CoRoT-11 b,1827,2.33 Jupiters,12.939,2010,3 days,0.0
75,CoRoT-12 b,3751,0.917 Jupiters,15.515,2010,2.8 days,0.07
76,CoRoT-13 b,3458,1.308 Jupiters,15.039,2010,4 days,0.0
77,CoRoT-14 b,4371,7.6 Jupiters,16.033,2010,1.5 days,0.0
78,CoRoT-16 b,2740,0.535 Jupiters,15.63,2011,5.4 days,0.33
79,CoRoT-17 b,3001,2.43 Jupiters,15.46,2011,3.8 days,0.0
80,CoRoT-18 b,2838,3.47 Jupiters,15,2011,1.9 days,< 0.08
81,CoRoT-19 b,2512,1.11 Jupiters,14.007,2011,3.9 days,0.05
82,CoRoT-1 b,2627,1.03 Jupiters,13.6,2008,1.5 days,0.0
83,CoRoT-20 b,2819,4.3 Jupiters,14.66,2011,9.2 days,0.59
84,CoRoT-20 c,2819,17 Jupiters,14.66,2018,4.6 years,0.6
85,CoRoT-21 b,4563,2.26 Jupiters,16,2012,2.7 days,0.0
86,CoRoT-22 b,1931,12.2 Earths,13.944,2014,9.8 days,0.08
87,CoRoT-23 b,1957,2.8 Jupiters,15.63,2011,3.6 days,0.16
88,CoRoT-24 b,1957,5.7 Earths,15.18,2014,5.1 days,0.0
89,CoRoT-24 c,1957,28 Earths,15.18,2014,11.8 days,0.0
90,CoRoT-25 b,3262,0.27 Jupiters,14.711,2013,4.9 days,0.0
91,CoRoT-26 b,5448,0.52 Jupiters,15.468,2013,4.2 days,0.0
92,CoRoT-27 b,3377,10.39 Jupiters,15.54,2014,3.6 days,< 0.065
93,CoRoT-28 b,1827,0.484 Jupiters,13.412,2015,5.2 days,0.05
94,CoRoT-29 b,2495,0.85 Jupiters,15.239,2015,2.9 days,0.08
95,CoRoT-2 b,652,3.47 Jupiters,12.57,2008,1.7 days,0.01
96,CoRoT-30 b,3132,2.9 Jupiters,15.65,2020,9.1 days,0.01
97,CoRoT-31 b,7144,0.84 Jupiters,15.465,2020,4.6 days,0.02
98,CoRoT-3 b,2218,21.66 Jupiters,13.292,2008,4.3 days,0.0
99,CoRoT-4 b,2419,0.72 Jupiters,13.561,2008,9.2 days,0.0
100,CoRoT-5 b,2951,0.467 Jupiters,13.902,2009,4 days,0.09
101,CoRoT-6 b,2144,2.96 Jupiters,13.912,2009,8.9 days,< 0.1
102,CoRoT-7 b,524,3.1783 Earths,11.668,2009,0.9 days,0.0
103,CoRoT-7 c,524,8.4 Earths,11.668,2009,3.7 days,0.0
104,CoRoT-8 b,1240,0.22 Jupiters,14.8,2010,6.2 days,0.0
105,CoRoT-9 b,1363,0.84 Jupiters,13.69,2009,95.3 days,0.13
106,CoRoTID 223977153 b,1912,0.15 Jupiters,13.587,2017,6.7 days,0.0
107,CT Chamaleontis b,538,17 Jupiters,11.773,2007,Infinity years,0.0
108,DE Canun Venaticorum b,100,12.0293 Jupiters,11.975,2018,11.2 years,0.0
109,DENIS-P J082303.1-491201 b,68,28.5 Jupiters,18.558,2013,246.4 days,0.35
110,DH Tauri b,457,11 Jupiters,12.496,2004,10441.5 years,0.0
111,DMPP-1 b,202,24.27 Earths,7.981,2019,18.6 days,< 0.083
112,DMPP-1 c,202,9.6 Earths,7.981,2019,6.6 days,< 0.057
113,DMPP-1 d,202,3.35 Earths,7.981,2019,2.9 days,< 0.07
114,DMPP-1 e,202,4.13 Earths,7.981,2019,5.5 days,< 0.07
115,DMPP-2 b,437,0.437 Jupiters,8.567,2019,5.2 days,0.08
116,DMPP-3 A b,160,2.58 Earths,9.066,2019,6.7 days,0.14
117,DP Leonis b,995,6.28 Jupiters,18.633,2009,28 years,0.39
118,DS Tucanae A b,144,1.3 Jupiters,8.469,2019,8.1 days,0.0
119,EPIC 201238110 b,522,4.16 Earths,15.261,2019,28.2 days,0.0
120,EPIC 201497682 b,831,0.26 Earths,14.102,2019,2.1 days,0.0
121,EPIC 201615463 c,1569,1.98 Earths,12.074,2019,3.8 days,0.0
122,EPIC 201754305 d,1103,1.08 Earths,14.67,2019,2.7 days,0.0
123,EPIC 201833600 c,846,0.972 Earths,14.717,2019,4 days,0.0
124,EPIC 201841433 b,1442,1.37 Earths,14.867,2019,4.2 days,0.0
125,EPIC 205950854 c,801,2.27 Earths,12.291,2019,8.1 days,0.0
126,EPIC 206024342 b,1219,3.53 Earths,13.116,2019,4.5 days,0.0
127,EPIC 206032309 b,529,1.01 Earths,16.069,2019,2.9 days,0.0
128,EPIC 206042996 b,1492,3.26 Earths,16.743,2019,5.3 days,0.0
129,EPIC 206215704 b,360,0.666 Earths,16.172,2019,2.3 days,0.0
130,EPIC 206317286 b,1035,0.84 Earths,14.051,2019,1.6 days,0.0
131,EPIC 211822797 b,611,4.58 Earths,15.256,2016,21.2 days,0.06
132,EPIC 211945201 b,596,27 Earths,10.154,2018,19.5 days,0.0
133,EPIC 212297394 b,1381,2.31 Earths,14.423,2019,2.3 days,0.0
134,EPIC 212424622 b,2031,5.35 Earths,13.354,2019,18.1 days,0.0
135,EPIC 212499991 b,932,3.19 Earths,13.552,2019,34.9 days,0.0
136,EPIC 212587672 b,1053,1.46 Earths,12.487,2019,15.3 days,0.0
137,EPIC 212737443 b,1133,7.2 Earths,14.836,2019,13.6 days,0.2
138,EPIC 212737443 c,1133,7.7 Earths,14.836,2019,65.6 days,0.2
139,EPIC 220554210 c,1638,2.79 Earths,14.042,2019,0.7 days,0.0
140,EPIC 220674823 b,803,7.72 Earths,12.102,2016,0.6 days,0.0
141,EPIC 220674823 c,803,5.8 Earths,12.102,2016,13.3 days,0.18
142,EPIC 246851721 b,1098,3 Jupiters,11.439,2018,6.2 days,0.0
143,EPIC 248847494 b,1827,13 Jupiters,12.416,2018,10 years,0.0
144,EPIC 249893012 b,1058,8.75 Earths,11.428,2020,3.6 days,0.06
145,EPIC 249893012 c,1058,14.67 Earths,11.428,2020,15.6 days,0.07
146,EPIC 249893012 d,1058,10.18 Earths,11.428,2020,35.7 days,0.15
147,Epsilon Coronae Borealis b,228,6.7 Jupiters,4.15,2012,417.9 days,0.11
148,Epsilon Eridani b,11,0.78 Jupiters,3.82,2000,7.4 years,0.07
149,Epsilon Indi A b,12,3.25 Jupiters,4.69,2019,45.2 years,0.26
150,Epsilon Tauri b,161,7.6 Jupiters,3.54,2006,1.6 years,0.15
151,FU Tauri b,457,16 Jupiters,20.48,2008,101250.8 years,0.0
152,G 9-40 b,91,4.76 Earths,13.823,2019,5.7 days,0.0
153,Gamma 1 Leonis b,126,8.78 Jupiters,1.98,2009,428.5 days,0.14
154,Gamma Cephei b,44,1.85 Jupiters,3.21,2003,2.5 years,0.05
155,Gamma Librae b,155,1.02 Jupiters,3.91,2018,415.2 days,0.21
156,Gamma Librae c,155,4.58 Jupiters,3.91,2018,2.6 years,0.06
157,GJ 1061 b,12,1.37 Earths,13.06,2020,3.2 days,< 0.31
158,GJ 1061 c,12,1.74 Earths,13.06,2020,6.7 days,< 0.29
159,GJ 1061 d,12,1.64 Earths,13.06,2020,13 days,< 0.53
160,GJ 1132 b,41,1.66 Earths,13.49,2015,1.6 days,0.22
161,GJ 1132 c,41,2.64 Earths,13.49,2018,8.9 days,< 0.27
162,GJ 1148 b,36,0.30425 Jupiters,11.92,2010,41.4 days,0.38
163,GJ 1148 c,36,0.21414 Jupiters,11.92,2017,1.5 years,0.34
164,GJ 1214 b,48,6.26125 Earths,15.1,2009,1.6 days,0.0
165,GJ 1252 b,66,2.09 Earths,12.193,2020,0.5 days,0.0
166,GJ 1265 b,33,7.4 Earths,13.57,2018,3.7 days,0.04
167,GJ 143 b,53,22.7 Earths,7.87,2019,35.6 days,0.19
168,GJ 15 A b,12,3.03 Earths,8.08,2014,11.4 days,0.09
169,GJ 15 A c,12,36 Earths,8.08,2018,20.8 years,0.27
170,GJ 160.2 b,84,10.2 Earths,9.68,2014,5.2 days,0.06
171,GJ 163 b,49,10.6 Earths,11.81,2013,8.6 days,0.07
172,GJ 163 c,49,6.8 Earths,11.81,2013,25.6 days,0.1
173,GJ 163 d,49,29.4 Earths,11.81,2013,1.7 years,0.37
174,GJ 179 b,40,0.82 Jupiters,12,2009,6.3 years,0.21
175,GJ 180 b,39,6.49 Earths,10.91,2014,17.1 days,0.07
176,GJ 180 c,39,6.4 Earths,10.91,2014,24.3 days,0.09
177,GJ 180 d,39,7.56 Earths,10.91,2020,106.3 days,0.14
178,GJ 2056 b,93,16.2 Earths,10.37,2020,70 days,0.72
179,GJ 229 A c,19,7.268 Earths,8.14,2020,122 days,0.19
180,GJ 229 b,19,8.478 Earths,8.14,2014,1.4 years,0.1
181,GJ 27.1 b,77,13 Earths,11.42,2014,15.8 days,0.08
182,GJ 273 b,12,2.89 Earths,9.872,2017,18.6 days,0.1
183,GJ 273 c,12,1.18 Earths,9.872,2017,4.7 days,0.17
184,GJ 3021 b,57,3.37 Jupiters,6.59,2000,133.7 days,0.51
185,GJ 3082 b,54,8.2 Earths,11.077,2020,11.9 days,0.22
186,GJ 3138 b,93,1.78 Earths,10.98,2017,1.2 days,0.19
187,GJ 3138 c,93,4.18 Earths,10.98,2017,6 days,0.11
188,GJ 3138 d,93,10.5 Earths,10.98,2017,257.8 days,0.32
189,GJ 317 b,49,2.5 Jupiters,11.97,2007,1.9 years,0.07
190,GJ 317 c,49,1.64396 Jupiters,11.97,2018,18.5 years,0.17
191,GJ 328 b,67,2.3 Jupiters,9.97,2013,11.2 years,0.37
192,GJ 3293 b,66,23.54 Earths,11.962,2015,30.6 days,0.06
193,GJ 3293 c,66,21.09 Earths,11.962,2015,122.6 days,0.11
194,GJ 3293 d,66,7.6 Earths,11.962,2017,48.1 days,0.12
195,GJ 3293 e,66,3.28 Earths,11.962,2017,13.3 days,0.21
196,GJ 3323 b,17,2.02 Earths,12.22,2017,5.4 days,0.23
197,GJ 3323 c,17,2.31 Earths,12.22,2017,40.5 days,0.17
198,GJ 3341 b,76,6.6 Earths,12.08,2015,14.2 days,0.31
199,GJ 338 B b,21,10.27 Earths,7.7,2020,24.5 days,0.11
200,GJ 3470 b,96,13.9 Earths,12.33,2012,3.3 days,0.02
201,GJ 3512 b,31,0.463 Jupiters,15.05,2019,203.6 days,0.44
202,GJ 357 b,31,1.84 Earths,10.92,2019,3.9 days,0.0
203,GJ 357 c,31,3.4 Earths,10.92,2019,9.1 days,0.0
204,GJ 357 d,31,6.1 Earths,10.92,2019,55.7 days,0.0
205,GJ 3634 b,65,8.4 Earths,11.93,2010,2.6 days,0.08
206,GJ 3779 b,45,8 Earths,12.96,2018,3 days,0.07
207,GJ 3942 b,55,7.14 Earths,10.25,2017,6.9 days,0.12
208,GJ 3998 b,59,2.47 Earths,10.83,2016,2.6 days,0.0
209,GJ 3998 c,59,6.26 Earths,10.83,2016,13.7 days,0.05
210,GJ 411 b,8,2.99 Earths,7.49,2019,13 days,0.22
211,GJ 422 b,41,11.07 Earths,11.55,2014,20.1 days,0.11
212,GJ 4276 b,70,16.57 Earths,11.66,2019,13.4 days,0.37
213,GJ 433 b,30,6.043 Earths,9.806,2011,7.4 days,0.04
214,GJ 433 c,30,32.422 Earths,9.806,2014,14 years,0.12
215,GJ 433 d,30,5.223 Earths,9.806,2020,36.1 days,0.07
216,GJ 436 b,32,22.1 Earths,10.67,2004,2.6 days,0.14
217,GJ 480 b,46,13.2 Earths,11.51,2020,9.6 days,0.1
218,GJ 504 b,57,4 Jupiters,5.22,2013,259.9 years,0.0
219,GJ 536 b,34,5.36 Earths,9.72,2016,8.7 days,0.08
220,GJ 581 b,21,15.8 Earths,10.56,2005,5.4 days,0.0
221,GJ 581 c,21,5.5 Earths,10.56,2007,12.9 days,0.0
222,GJ 581 e,21,1.7 Earths,10.56,2009,3.1 days,0.0
223,GJ 625 b,21,2.82 Earths,10.1,2017,14.6 days,0.13
224,GJ 649 b,34,0.328 Jupiters,9.69,2009,1.6 years,0.3
225,GJ 667 C b,22,5.6 Earths,10.22,2011,7.2 days,0.13
226,GJ 667 C c,22,3.8 Earths,10.22,2011,28.1 days,0.02
227,GJ 667 C e,22,2.7 Earths,10.22,2013,62.2 days,0.02
228,GJ 667 C f,22,2.7 Earths,10.22,2013,39 days,0.03
229,GJ 667 C g,22,4.6 Earths,10.22,2013,256.2 days,0.08
230,GJ 674 b,15,11.09 Earths,9.37,2007,4.7 days,0.2
231,GJ 676 A b,52,6.7 Jupiters,9.58,2010,2.9 years,0.33
232,GJ 676 A c,52,6.8 Jupiters,9.58,2016,20.1 years,0.0
233,GJ 676 A d,52,4.4 Earths,9.58,2012,3.6 days,0.26
234,GJ 676 A e,52,8.1 Earths,9.58,2012,35.4 days,0.13
235,GJ 682 b,16,4.4 Earths,10.97,2014,17.5 days,0.08
236,GJ 682 c,16,8.7 Earths,10.97,2014,57.3 days,0.1
237,GJ 685 b,47,9 Earths,9.97,2019,24.2 days,0.0
238,GJ 687 b,15,17.2 Earths,9.15,2014,38.1 days,0.17
239,GJ 687 c,15,16 Earths,9.15,2020,2 years,0.4
240,GJ 832 b,16,0.68 Jupiters,8.66,2008,10 years,0.08
241,GJ 832 c,16,5.4 Earths,8.66,2014,35.7 days,0.18
242,GJ 849 b,29,1 Jupiter,10.37,2006,5.2 years,0.04
243,GJ 86 b,35,4.42 Jupiters,6.12,1999,15.8 days,0.04
244,GJ 876 b,15,2.2756 Jupiters,10.191,1998,61.1 days,0.03
245,GJ 876 c,15,0.7142 Jupiters,10.191,2000,30.1 days,0.26
246,GJ 876 d,15,6.83 Earths,10.191,2005,1.9 days,0.21
247,GJ 876 e,15,14.6 Earths,10.191,2010,124.3 days,0.06
248,GJ 887 b,11,4.2 Earths,7.335,2020,9.3 days,0.0
249,GJ 887 c,11,7.6 Earths,7.335,2020,21.8 days,0.0
250,GJ 9066 b,15,30.9 Earths,12.27,2020,241.9 days,0.18
251,GJ 9066 c,15,0.22528 Jupiters,12.27,2020,2.1 years,0.33
252,GJ 96 b,39,19.66 Earths,9.345,2018,73.9 days,0.44
253,GJ 9827 b,97,4.91 Earths,10.25,2017,1.2 days,0.0
254,GJ 9827 c,97,0.84 Earths,10.25,2017,3.6 days,0.0
255,GJ 9827 d,97,4.04 Earths,10.25,2017,6.2 days,0.0
256,Gl 378 b,49,13.02 Earths,10.19,2019,3.8 days,0.11
257,Gl 49 b,32,5.63 Earths,9.56,2019,13.9 days,0.36
258,Gl 686 b,27,6.64 Earths,9.577,2018,15.5 days,0.08
259,GQ Lupi b,495,20 Jupiters,12.43,2004,1195.9 years,0.0
260,GSC 06214-00210 b,473,16 Jupiters,12.375,2010,6037.4 years,0.0
261,GU Piscium b,157,11.3 Jupiters,13.55,2014,155788.8 years,0.0
262,HAT-P-11 b,123,26.69772 Earths,9.151,2008,4.9 days,0.22
263,HAT-P-11 c,123,2.3 Jupiters,9.151,2018,9.3 years,0.6
264,HAT-P-12 b,465,0.211 Jupiters,12.84,2009,3.2 days,0.0
265,HAT-P-13 b,698,0.851 Jupiters,10.622,2009,2.9 days,0.01
266,HAT-P-13 c,698,14.28 Jupiters,10.622,2009,446.3 days,0.66
267,HAT-P-14 b,731,3.44 Jupiters,9.98,2010,4.6 days,0.11
268,HAT-P-15 b,631,1.94 Jupiters,12.16,2010,10.9 days,0.19
269,HAT-P-16 b,767,4.193 Jupiters,10.812,2010,2.8 days,0.04
270,HAT-P-17 b,302,0.58 Jupiters,10.54,2010,10.3 days,0.35
271,HAT-P-17 c,302,3.4 Jupiters,10.54,2010,15.3 years,0.39
272,HAT-P-18 b,541,0.197 Jupiters,12.759,2010,5.5 days,0.08
273,HAT-P-19 b,701,0.292 Jupiters,12.901,2010,4 days,0.07
274,HAT-P-1 b,521,0.525 Jupiters,10.34,2006,4.5 days,0.0
275,HAT-P-20 b,228,7.246 Jupiters,11.339,2010,2.9 days,0.02
276,HAT-P-21 b,912,4.87 Jupiters,11.685,2010,4.1 days,0.23
277,HAT-P-22 b,267,2.47 Jupiters,9.732,2010,3.2 days,0.02
278,HAT-P-23 b,1202,1.34 Jupiters,12.432,2010,1.2 days,0.11
279,HAT-P-24 b,1371,0.75 Jupiters,11.818,2010,3.4 days,0.07
280,HAT-P-25 b,988,0.569 Jupiters,13.19,2010,3.7 days,0.02
281,HAT-P-26 b,465,22.2481 Earths,11.744,2010,4.2 days,0.12
282,HAT-P-27 b,665,0.62 Jupiters,11.956,2011,3 days,0.0
283,HAT-P-28 b,1288,0.626 Jupiters,13.03,2011,3.3 days,0.05
284,HAT-P-29 b,1032,0.88 Jupiters,11.9,2011,5.7 days,0.09
285,HAT-P-2 b,418,8.7 Jupiters,8.72,2007,5.6 days,0.52
286,HAT-P-30 b,702,0.83 Jupiters,10.419,2011,2.8 days,0.04
287,HAT-P-31 b,1133,2.27 Jupiters,11.66,2011,5 days,0.25
288,HAT-P-32 b,951,0.68 Jupiters,11.289,2011,2.2 days,0.16
289,HAT-P-33 b,1307,0.92 Jupiters,11.188,2011,3.5 days,0.0
290,HAT-P-34 b,819,3.33 Jupiters,10.162,2011,5.5 days,0.43
291,HAT-P-35 b,1677,1.056 Jupiters,12.46,2011,3.6 days,< 0.02
292,HAT-P-36 b,969,1.8482 Jupiters,12.262,2011,1.3 days,0.06
293,HAT-P-37 b,1341,1.169 Jupiters,13.23,2011,2.8 days,0.06
294,HAT-P-38 b,812,0.267 Jupiters,12.557,2012,4.6 days,0.07
295,HAT-P-39 b,2094,0.599 Jupiters,12.422,2012,3.5 days,0.0
296,HAT-P-3 b,441,0.65 Jupiters,11.577,2007,2.9 days,0.0
297,HAT-P-40 b,1535,0.48 Jupiters,11.699,2012,4.5 days,0.0
298,HAT-P-41 b,1147,1.19 Jupiters,11.087,2012,2.7 days,0.0
299,HAT-P-42 b,1458,1.044 Jupiters,12.168,2012,4.6 days,0.0
300,HAT-P-43 b,1768,0.662 Jupiters,13.356,2012,3.3 days,0.0
301,HAT-P-44 b,1184,0.352 Jupiters,12.973,2014,4.3 days,0.04
302,HAT-P-44 c,1184,4 Jupiters,12.973,2014,2.4 years,0.49
303,HAT-P-45 b,995,0.892 Jupiters,12.398,2014,3.1 days,0.05
304,HAT-P-46 b,966,0.493 Jupiters,11.684,2014,4.5 days,0.12
305,HAT-P-49 b,1154,2.2 Jupiters,10.326,2014,2.7 days,0.0
306,HAT-P-4 b,1024,0.671 Jupiters,11.118,2007,3.1 days,0.0
307,HAT-P-50 b,1621,1.35 Jupiters,11.762,2015,3.1 days,< 0.115
308,HAT-P-51 b,1533,0.309 Jupiters,13.44,2015,4.2 days,< 0.123
309,HAT-P-52 b,1256,0.818 Jupiters,14.068,2015,2.8 days,< 0.047
310,HAT-P-53 b,2345,1.484 Jupiters,13.73,2015,2 days,< 0.134
311,HAT-P-54 b,471,0.76 Jupiters,13.017,2015,3.8 days,< 0.074
312,HAT-P-55 b,1566,0.582 Jupiters,13.207,2015,3.6 days,< 0.139
313,HAT-P-56 b,1055,2.31 Jupiters,10.908,2015,2.8 days,< 0.29
314,HAT-P-57 b,920,1.41 Jupiters,10.465,2015,2.5 days,0.0
315,HAT-P-5 b,998,0.98 Jupiters,12,2007,2.8 days,0.0
316,HAT-P-65 b,2743,0.527 Jupiters,13.145,2016,2.6 days,< 0.304
317,HAT-P-66 b,3024,0.783 Jupiters,12.993,2016,3 days,< 0.09
318,HAT-P-67 b,1044,0.34 Jupiters,10.069,2017,4.8 days,0.0
319,HAT-P-69 b,1122,3.58 Jupiters,9.773,2019,4.8 days,0.0
320,HAT-P-6 b,905,1.32 Jupiters,10.44,2007,3.9 days,0.0
321,HAT-P-70 b,1073,6.78 Jupiters,9.452,2019,2.7 days,0.0
322,HAT-P-7 b,1124,1.84 Jupiters,10.365,2008,2.2 days,0.0
323,HAT-P-8 b,694,1.28 Jupiters,10.3,2008,3.1 days,0.0
324,HAT-P-9 b,1566,0.749 Jupiters,12.297,2008,3.9 days,0.08
325,HATS-10 b,1618,0.526 Jupiters,13.113,2015,3.3 days,< 0.501
326,HATS-11 b,3155,0.83 Jupiters,14.018,2016,3.6 days,< 0.34
327,HATS-12 b,1671,2.39 Jupiters,12.756,2016,3.1 days,< 0.085
328,HATS-13 b,1553,0.543 Jupiters,13.887,2015,3 days,< 0.181
329,HATS-14 b,1673,1.071 Jupiters,13.79,2015,2.8 days,< 0.142
330,HATS-15 b,2248,2.17 Jupiters,14.774,2016,1.7 days,< 0.126
331,HATS-16 b,2525,3.27 Jupiters,13.834,2016,2.7 days,0.0
332,HATS-17 b,1106,1.338 Jupiters,12.39,2016,16.3 days,0.03
333,HATS-18 b,2104,1.9795 Jupiters,14.067,2016,0.8 days,0.17
334,HATS-1 b,988,1.855 Jupiters,12.053,2012,3.4 days,0.12
335,HATS-22 b,678,2.74 Jupiters,13.455,2017,4.7 days,0.08
336,HATS-23 b,2437,1.47 Jupiters,13.901,2017,2.2 days,< 0.114
337,HATS-24 b,1664,2.26 Jupiters,12.83,2017,1.3 days,0.0
338,HATS-25 b,1520,0.613 Jupiters,13.097,2016,4.3 days,< 0.176
339,HATS-26 b,2959,0.65 Jupiters,12.955,2016,3.3 days,< 0.245
340,HATS-27 b,2740,0.53 Jupiters,12.766,2016,4.6 days,< 0.581
341,HATS-28 b,1700,0.672 Jupiters,13.934,2016,3.2 days,< 0.202
342,HATS-29 b,1145,0.653 Jupiters,12.612,2016,4.6 days,< 0.158
343,HATS-2 b,1174,1.345 Jupiters,13.562,2013,1.4 days,0.0
344,HATS-30 b,1106,0.706 Jupiters,12.192,2016,3.2 days,< 0.096
345,HATS-31 b,2844,0.88 Jupiters,13.105,2016,3.4 days,< 0.233
346,HATS-32 b,2737,0.92 Jupiters,14.384,2016,2.8 days,< 0.471
347,HATS-33 b,832,1.192 Jupiters,11.911,2016,2.5 days,< 0.08
348,HATS-34 b,1735,0.941 Jupiters,13.849,2016,2.1 days,< 0.108
